index,synset,words,categories
467,n02927161,"butcher shop, meat market",building
468,n02930766,"cab, hack, taxi, taxicab",vehicle
469,n02939185,"caldron, cauldron",cooking
470,n02948072,"candle, taper, wax light",tool
471,n02950826,cannon,weapon
472,n02951358,canoe,boat
473,n02951585,"can opener, tin opener",tool
474,n02963159,cardigan,clothing
475,n02965783,car mirror,technology
476,n02966193,"carousel, carrousel, merry-go-round, roundabout, whirligig",building
477,n02966687,"carpenter's kit, tool kit",tool
478,n02971356,carton,container
479,n02974003,car wheel,technology
480,n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",technology
481,n02978881,cassette,technology
482,n02979186,cassette player,electronics
483,n02980441,castle,building
484,n02981792,catamaran,boat
485,n02988304,CD player,electronics
486,n02992211,"cello, violoncello",instrument
487,n02992529,"cellular telephone, cellular phone, cellphone, cell, mobile phone",electronics
488,n02999410,chain,tool
489,n03000134,chainlink fence,fence
490,n03000247,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",clothing
491,n03000684,"chain saw, chainsaw",tool
492,n03014705,chest,container
493,n03016953,"chiffonier, commode",furniture
494,n03017168,"chime, bell, gong",instrument
495,n03018349,"china cabinet, china closet",furniture
496,n03026506,Christmas stocking,decor
497,n03028079,"church, church building",building
498,n03032252,"cinema, movie theater, movie theatre, movie house, picture palace",building
499,n03041632,"cleaver, meat cleaver, chopper",cooking
500,n03042490,cliff dwelling,building
501,n03045698,cloak,clothing
502,n03047690,"clog, geta, patten, sabot",clothing
503,n03062245,cocktail shaker,cooking
504,n03063599,coffee mug,cooking
505,n03063689,coffeepot,cooking
506,n03065424,"coil, spiral, volute, whorl, helix",technology
507,n03075370,combination lock,technology
508,n03085013,"computer keyboard, keypad",electronics
509,n03089624,"confectionery, confectionary, candy store",building
510,n03095699,"container ship, containership, container vessel",boat
511,n03100240,convertible,vehicle
512,n03109150,"corkscrew, bottle screw",cooking
513,n03110669,"cornet, horn, trumpet, trump",instrument
514,n03124043,cowboy boot,clothing
515,n03124170,"cowboy hat, ten-gallon hat",clothing
516,n03125729,cradle,furniture
517,n03126707,crane,vehicle
518,n03127747,crash helmet,hat
519,n03127925,crate,container
520,n03131574,"crib, cot",furniture
521,n03133878,Crock Pot,cooking
522,n03134739,croquet ball,ball
523,n03141823,crutch,tool
524,n03146219,cuirass,clothing
525,n03160309,"dam, dike, dyke",outdoor scene
526,n03179701,desk,furniture
527,n03180011,desktop computer,electronics
528,n03187595,"dial telephone, dial phone",electronics
529,n03188531,"diaper, nappy, napkin",clothing
530,n03196217,digital clock,electronics
531,n03197337,digital watch,electronics
532,n03201208,"dining table, board",furniture
533,n03207743,"dishrag, dishcloth",decor
534,n03207941,"dishwasher, dish washer, dishwashing machine",electronics
535,n03208938,"disk brake, disc brake",technology
536,n03216828,"dock, dockage, docking facility",outdoor scene
537,n03218198,"dogsled, dog sled, dog sleigh",vehicle
538,n03220513,dome,building
539,n03223299,"doormat, welcome mat",decor
540,n03240683,"drilling platform, offshore rig",outdoor scene
541,n03249569,"drum, membranophone, tympan",instrument
542,n03250847,drumstick,instrument
543,n03255030,dumbbell,tool
544,n03259280,Dutch oven,cooking
545,n03271574,"electric fan, blower",electronics
546,n03272010,electric guitar,instrument
547,n03272562,electric locomotive,train
548,n03290653,entertainment center,furniture
549,n03291819,envelope,paper
550,n03297495,espresso maker,cooking
551,n03314780,face powder,other
552,n03325584,"feather boa, boa",accessory
553,n03337140,"file, file cabinet, filing cabinet",furniture
554,n03344393,fireboat,boat
555,n03345487,"fire engine, fire truck",vehicle
556,n03347037,"fire screen, fireguard",furniture
557,n03355925,"flagpole, flagstaff",outdoor scene
558,n03372029,"flute, transverse flute",instrument
559,n03376595,folding chair,furniture
560,n03379051,football helmet,sports equipment
561,n03384352,forklift,vehicle
562,n03388043,fountain,outdoor scene
563,n03388183,fountain pen,tool
564,n03388549,four-poster,furniture
565,n03393912,freight car,train
566,n03394916,"French horn, horn",instrument
567,n03400231,"frying pan, frypan, skillet",cooking
568,n03404251,fur coat,clothing
569,n03417042,"garbage truck, dustcart",vehicle
570,n03424325,"gasmask, respirator, gas helmet",accessory
571,n03425413,"gas pump, gasoline pump, petrol pump, island dispenser",technology
572,n03443371,goblet,cooking
573,n03444034,go-kart,vehicle
574,n03445777,golf ball,ball
575,n03445924,"golfcart, golf cart",vehicle
576,n03447447,gondola,boat
577,n03447721,"gong, tam-tam",instrument
578,n03450230,gown,clothing
579,n03452741,"grand piano, grand",instrument
580,n03457902,"greenhouse, nursery, glasshouse",building
581,n03459775,"grille, radiator grille",vehicle
582,n03461385,"grocery store, grocery, food market, market",building
583,n03467068,guillotine,weapon
584,n03476684,hair slide,accessory
585,n03476991,hair spray,other
586,n03478589,half track,vehicle
587,n03481172,hammer,tool
588,n03482405,hamper,decor
589,n03483316,"hand blower, blow dryer, blow drier, hair dryer, hair drier",electronics
590,n03485407,"hand-held computer, hand-held microcomputer",electronics
591,n03485794,"handkerchief, hankie, hanky, hankey",accessory
592,n03492542,"hard disc, hard disk, fixed disk",electronics
593,n03494278,"harmonica, mouth organ, harp, mouth harp",instrument
594,n03495258,harp,instrument
595,n03496892,"harvester, reaper",vehicle
596,n03498962,hatchet,tool
597,n03527444,holster,weapon
598,n03529860,"home theater, home theatre",building
599,n03530642,honeycomb,other
600,n03532672,"hook, claw",tool
601,n03534580,"hoopskirt, crinoline",clothing
602,n03535780,"horizontal bar, high bar",sports equipment
603,n03538406,"horse cart, horse-cart",vehicle
604,n03544143,hourglass,technology
605,n03584254,iPod,electronics
606,n03584829,"iron, smoothing iron",tool
607,n03590841,jack-o'-lantern,fruit
608,n03594734,"jean, blue jean, denim",clothing
609,n03594945,"jeep, landrover",vehicle
610,n03595614,"jersey, T-shirt, tee shirt",clothing
611,n03598930,jigsaw puzzle,paper
612,n03599486,"jinrikisha, ricksha, rickshaw",vehicle
613,n03602883,joystick,electronics
614,n03617480,kimono,clothing
615,n03623198,knee pad,clothing
616,n03627232,knot,other
617,n03630383,"lab coat, laboratory coat",clothing
618,n03633091,ladle,cooking
619,n03637318,"lampshade, lamp shade",decor
620,n03642806,"laptop, laptop computer",electronics
621,n03649909,"lawn mower, mower",vehicle
622,n03657121,"lens cap, lens cover",technology
623,n03658185,"letter opener, paper knife, paperknife",tool
624,n03661043,library,building
625,n03662601,lifeboat,boat
626,n03666591,"lighter, light, igniter, ignitor",tool
627,n03670208,"limousine, limo",vehicle
628,n03673027,"liner, ocean liner",boat
629,n03676483,"lipstick, lip rouge",accessory
630,n03680355,Loafer,clothing
631,n03690938,lotion,other
632,n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",electronics
633,n03692522,"loupe, jeweler's loupe",tool
634,n03697007,"lumbermill, sawmill",building
635,n03706229,magnetic compass,tool
636,n03709823,"mailbag, postbag",accessory
637,n03710193,"mailbox, letter box",furniture
638,n03710637,maillot,clothing
639,n03710721,"maillot, tank suit",clothing
640,n03717622,manhole cover,outdoor scene
641,n03720891,maraca,instrument
642,n03721384,"marimba, xylophone",instrument
643,n03724870,mask,clothing
644,n03729826,matchstick,tool
645,n03733131,maypole,outdoor scene
646,n03733281,"maze, labyrinth",outdoor scene
647,n03733805,measuring cup,cooking
648,n03742115,"medicine chest, medicine cabinet",container
649,n03743016,"megalith, megalithic structure",outdoor scene
650,n03759954,"microphone, mike",electronics
651,n03761084,"microwave, microwave oven",electronics
652,n03763968,military uniform,clothing
653,n03764736,milk can,container
654,n03769881,minibus,vehicle
655,n03770439,"miniskirt, mini",clothing
656,n03770679,minivan,vehicle
657,n03773504,missile,weapon
658,n03775071,mitten,clothing
659,n03775546,mixing bowl,cooking
660,n03776460,"mobile home, manufactured home",building
661,n03777568,Model T,vehicle
662,n03777754,modem,electronics
663,n03781244,monastery,building
664,n03782006,monitor,electronics
665,n03785016,moped,vehicle
666,n03786901,mortar,cooking
667,n03787032,mortarboard,hat
668,n03788195,mosque,building
669,n03788365,mosquito net,other
670,n03791053,"motor scooter, scooter",vehicle
671,n03792782,"mountain bike, all-terrain bike, off-roader",vehicle
672,n03792972,mountain tent,building
673,n03793489,"mouse, computer mouse",rodent
674,n03794056,mousetrap,technology
675,n03796401,moving van,vehicle
676,n03803284,muzzle,other
677,n03804744,nail,tool
678,n03814639,neck brace,accessory
679,n03814906,necklace,accessory
680,n03825788,nipple,other
681,n03832673,"notebook, notebook computer",paper
682,n03837869,obelisk,building
683,n03838899,"oboe, hautboy, hautbois",instrument
684,n03840681,"ocarina, sweet potato",instrument
685,n03841143,"odometer, hodometer, mileometer, milometer",electronics
686,n03843555,oil filter,technology
687,n03854065,"organ, pipe organ",instrument
688,n03857828,"oscilloscope, scope, cathode-ray oscilloscope, CRO",electronics
689,n03866082,overskirt,clothing
690,n03868242,oxcart,vehicle
691,n03868863,oxygen mask,clothing
692,n03871628,packet,container
693,n03873416,"paddle, boat paddle",sports equipment
694,n03874293,"paddlewheel, paddle wheel",boat
695,n03874599,padlock,technology
696,n03876231,paintbrush,tool
697,n03877472,"pajama, pyjama, pj's, jammies",clothing
698,n03877845,palace,building
699,n03884397,"panpipe, pandean pipe, syrinx",instrument
700,n03887697,paper towel,paper
701,n03888257,"parachute, chute",aircraft
702,n03888605,"parallel bars, bars",sports equipment
703,n03891251,park bench,furniture
704,n03891332,parking meter,electronics
705,n03895866,"passenger car, coach, carriage",vehicle
706,n03899768,"patio, terrace",building
707,n03902125,"pay-phone, pay-station",electronics
708,n03903868,"pedestal, plinth, footstall",furniture
709,n03908618,"pencil box, pencil case",other
710,n03908714,pencil sharpener,tool
711,n03916031,"perfume, essence",other
712,n03920288,Petri dish,lab equipment
713,n03924679,photocopier,electronics
714,n03929660,"pick, plectrum, plectron",instrument
715,n03929855,pickelhaube,hat
716,n03930313,"picket fence, paling",fence
717,n03930630,"pickup, pickup truck",vehicle
718,n03933933,pier,outdoor scene
719,n03935335,"piggy bank, penny bank",decor
720,n03937543,pill bottle,container
721,n03938244,pillow,decor
722,n03942813,ping-pong ball,ball
723,n03944341,pinwheel,toy
724,n03947888,"pirate, pirate ship",person
725,n03950228,"pitcher, ewer",cooking
726,n03954731,"plane, carpenter's plane, woodworking plane",tool
727,n03956157,planetarium,building
728,n03958227,plastic bag,container
729,n03961711,plate rack,decor
730,n03967562,"plow, plough",vehicle
731,n03970156,"plunger, plumber's helper",tool
732,n03976467,"Polaroid camera, Polaroid Land camera",electronics
733,n03976657,pole,sports equipment
734,n03977966,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",vehicle
735,n03980874,poncho,clothing
736,n03982430,"pool table, billiard table, snooker table",furniture
737,n03983396,"pop bottle, soda bottle",food
738,n03991062,"pot, flowerpot",cooking
739,n03992509,potter's wheel,tool
740,n03995372,power drill,electronics
741,n03998194,"prayer rug, prayer mat",decor
742,n04004767,printer,electronics
743,n04005630,"prison, prison house",building
744,n04008634,"projectile, missile",weapon
745,n04009552,projector,electronics
746,n04019541,"puck, hockey puck",sports equipment
747,n04023962,"punching bag, punch bag, punching ball, punchball",sports equipment
748,n04026417,purse,accessory
749,n04033901,"quill, quill pen",tool
750,n04033995,"quilt, comforter, comfort, puff",decor
751,n04037443,"racer, race car, racing car",vehicle
752,n04039381,"racket, racquet",sports equipment
753,n04040759,radiator,electronics
754,n04041544,"radio, wireless",electronics
755,n04044716,"radio telescope, radio reflector",technology
756,n04049303,rain barrel,container
757,n04065272,"recreational vehicle, RV, R.V.",vehicle
758,n04067472,reel,technology
759,n04069434,reflex camera,electronics
760,n04070727,"refrigerator, icebox",furniture
761,n04074963,"remote control, remote",electronics
762,n04081281,"restaurant, eating house, eating place, eatery",building
763,n04086273,"revolver, six-gun, six-shooter",weapon
764,n04090263,rifle,weapon
765,n04099969,"rocking chair, rocker",furniture
766,n04111531,rotisserie,cooking
767,n04116512,"rubber eraser, rubber, pencil eraser",tool
768,n04118538,rugby ball,ball
769,n04118776,"rule, ruler",tool
770,n04120489,running shoe,clothing
771,n04125021,safe,container
772,n04127249,safety pin,tool
773,n04131690,"saltshaker, salt shaker",food
774,n04133789,sandal,clothing
775,n04136333,sarong,clothing
776,n04141076,"sax, saxophone",instrument
777,n04141327,scabbard,weapon
778,n04141975,"scale, weighing machine",electronics
779,n04146614,school bus,vehicle
780,n04147183,schooner,boat
781,n04149813,scoreboard,sports equipment
782,n04152593,"screen, CRT screen",decor
783,n04153751,screw,tool
784,n04154565,screwdriver,tool
785,n04162706,"seat belt, seatbelt",technology
786,n04179913,sewing machine,technology
787,n04192698,"shield, buckler",tool
788,n04200800,"shoe shop, shoe-shop, shoe store",building
789,n04201297,shoji,furniture
790,n04204238,shopping basket,container
791,n04204347,shopping cart,container
792,n04208210,shovel,tool
793,n04209133,shower cap,hat
794,n04209239,shower curtain,decor
795,n04228054,ski,sports equipment
796,n04229816,ski mask,clothing
797,n04235860,sleeping bag,accessory
798,n04238763,"slide rule, slipstick",technology
799,n04239074,sliding door,furniture
800,n04243546,"slot, one-armed bandit",electronics
801,n04251144,snorkel,sports equipment
802,n04252077,snowmobile,vehicle
803,n04252225,"snowplow, snowplough",vehicle
804,n04254120,soap dispenser,decor
805,n04254680,soccer ball,ball
806,n04254777,sock,clothing
807,n04258138,"solar dish, solar collector, solar furnace",technology
808,n04259630,sombrero,hat
809,n04263257,soup bowl,cooking
810,n04264628,space bar,electronics
811,n04265275,space heater,electronics
812,n04266014,space shuttle,aircraft
813,n04270147,spatula,cooking
814,n04273569,speedboat,boat
815,n04275548,"spider web, spider's web",outdoor scene
816,n04277352,spindle,technology
817,n04285008,"sports car, sport car",vehicle
818,n04286575,"spotlight, spot",electronics
819,n04296562,stage,furniture
820,n04310018,steam locomotive,train
821,n04311004,steel arch bridge,outdoor scene
822,n04311174,steel drum,instrument
823,n04317175,stethoscope,tool
824,n04325704,stole,accessory
825,n04326547,stone wall,outdoor scene
826,n04328186,"stopwatch, stop watch",electronics
827,n04330267,stove,furniture
828,n04332243,strainer,cooking
829,n04335435,"streetcar, tram, tramcar, trolley, trolley car",vehicle
830,n04336792,stretcher,furniture
831,n04344873,"studio couch, day bed",furniture
832,n04346328,"stupa, tope",building
833,n04347754,"submarine, pigboat, sub, U-boat",boat
834,n04350905,"suit, suit of clothes",clothing
835,n04355338,sundial,outdoor scene
836,n04355933,sunglass,tool
837,n04356056,"sunglasses, dark glasses, shades",clothing
838,n04357314,"sunscreen, sunblock, sun blocker",other
839,n04366367,suspension bridge,outdoor scene
840,n04367480,"swab, swob, mop",tool
841,n04370456,sweatshirt,clothing
842,n04371430,"swimming trunks, bathing trunks",clothing
843,n04371774,swing,toy
844,n04372370,"switch, electric switch, electrical switch",electronics
845,n04376876,syringe,tool
846,n04380533,table lamp,decor
847,n04389033,"tank, army tank, armored combat vehicle, armoured combat vehicle",vehicle
848,n04392985,tape player,electronics
849,n04398044,teapot,cooking
850,n04399382,"teddy, teddy bear",toy
851,n04404412,"television, television system",electronics
852,n04409515,tennis ball,ball
853,n04417672,"thatch, thatched roof",building
854,n04418357,"theater curtain, theatre curtain",decor
855,n04423845,thimble,tool
856,n04428191,"thresher, thrasher, threshing machine",vehicle
857,n04429376,throne,furniture
858,n04435653,tile roof,building
859,n04442312,toaster,electronics
860,n04443257,"tobacco shop, tobacconist shop, tobacconist",building
861,n04447861,toilet seat,furniture
862,n04456115,torch,tool
863,n04458633,totem pole,outdoor scene
864,n04461696,"tow truck, tow car, wrecker",vehicle
865,n04462240,toyshop,building
866,n04465501,tractor,vehicle
867,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",vehicle
868,n04476259,tray,decor
869,n04479046,trench coat,clothing
870,n04482393,"tricycle, trike, velocipede",vehicle
871,n04483307,trimaran,boat
872,n04485082,tripod,technology
873,n04486054,triumphal arch,outdoor scene
874,n04487081,"trolleybus, trolley coach, trackless trolley",vehicle
875,n04487394,trombone,instrument
876,n04493381,"tub, vat",furniture
877,n04501370,turnstile,technology
878,n04505470,typewriter keyboard,electronics
879,n04507155,umbrella,accessory
880,n04509417,"unicycle, monocycle",vehicle
881,n04515003,"upright, upright piano",instrument
882,n04517823,"vacuum, vacuum cleaner",electronics
883,n04522168,vase,decor
884,n04523525,vault,container
885,n04525038,velvet,other
886,n04525305,vending machine,technology
887,n04532106,vestment,clothing
888,n04532670,viaduct,outdoor scene
889,n04536866,"violin, fiddle",instrument
890,n04540053,volleyball,ball
891,n04542943,waffle iron,electronics
892,n04548280,wall clock,technology
893,n04548362,"wallet, billfold, notecase, pocketbook",accessory
894,n04550184,"wardrobe, closet, press",furniture
895,n04552348,"warplane, military plane",aircraft
896,n04553703,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",container
897,n04554684,"washer, automatic washer, washing machine",electronics
898,n04557648,water bottle,container
899,n04560804,water jug,container
900,n04562935,water tower,outdoor scene
901,n04579145,whiskey jug,container
902,n04579432,whistle,tool
903,n04584207,wig,clothing
904,n04589890,window screen,decor
905,n04590129,window shade,decor
906,n04591157,Windsor tie,accessory
907,n04591713,wine bottle,food
908,n04592741,wing,other
909,n04596742,wok,cooking
910,n04597913,wooden spoon,cooking
911,n04599235,"wool, woolen, woollen",other
912,n04604644,"worm fence, snake fence, snake-rail fence, Virginia fence",fence
913,n04606251,wreck,boat
914,n04612504,yawl,boat
915,n04613696,yurt,building
916,n06359193,"web site, website, internet site, site",technology
917,n06596364,comic book,paper
918,n06785654,"crossword puzzle, crossword",paper
919,n06794110,street sign,outdoor scene
920,n06874185,"traffic light, traffic signal, stoplight",electronics
921,n07248320,"book jacket, dust cover, dust jacket, dust wrapper",paper
922,n07565083,menu,paper
923,n07579787,plate,cooking
924,n07583066,guacamole,food
925,n07584110,consomme,food
926,n07590611,"hot pot, hotpot",cooking
927,n07613480,trifle,food
928,n07614500,"ice cream, icecream",food
929,n07615774,"ice lolly, lolly, lollipop, popsicle",food
930,n07684084,French loaf,food
931,n07693725,"bagel, beigel",food
932,n07695742,pretzel,food
933,n07697313,cheeseburger,food
934,n07697537,"hotdog, hot dog, red hot",food
935,n07711569,mashed potato,food
936,n07714571,head cabbage,vegetable
937,n07714990,broccoli,vegetable
938,n07715103,cauliflower,vegetable
939,n07716358,"zucchini, courgette",fruit
940,n07716906,spaghetti squash,fruit
941,n07717410,acorn squash,fruit
942,n07717556,butternut squash,vegetable
943,n07718472,"cucumber, cuke",vegetable
944,n07718747,"artichoke, globe artichoke",vegetable
945,n07720875,bell pepper,vegetable
946,n07730033,cardoon,flower
947,n07734744,mushroom,fungus
948,n07742313,Granny Smith,fruit
949,n07745940,strawberry,fruit
950,n07747607,orange,fruit
951,n07749582,lemon,fruit
952,n07753113,fig,fruit
953,n07753275,"pineapple, ananas",fruit
954,n07753592,banana,fruit
955,n07754684,"jackfruit, jak, jack",fruit
956,n07760859,custard apple,fruit
957,n07768694,pomegranate,fruit
958,n07802026,hay,other
959,n07831146,carbonara,food
960,n07836838,"chocolate sauce, chocolate syrup",food
961,n07860988,dough,food
962,n07871810,"meat loaf, meatloaf",food
963,n07873807,"pizza, pizza pie",food
964,n07875152,potpie,food
965,n07880968,burrito,food
966,n07892512,red wine,food
967,n07920052,espresso,food
968,n07930864,cup,cooking
969,n07932039,eggnog,food
970,n09193705,alp,outdoor scene
971,n09229709,bubble,other
972,n09246464,"cliff, drop, drop-off",outdoor scene
973,n09256479,coral reef,coral
974,n09288635,geyser,outdoor scene
975,n09332890,"lakeside, lakeshore",outdoor scene
976,n09399592,"promontory, headland, head, foreland",outdoor scene
977,n09421951,"sandbar, sand bar",outdoor scene
978,n09428293,"seashore, coast, seacoast, sea-coast",outdoor scene
979,n09468604,"valley, vale",outdoor scene
980,n09472597,volcano,outdoor scene
981,n09835506,"ballplayer, baseball player",person
982,n10148035,"groom, bridegroom",person
983,n10565667,scuba diver,person
984,n11879895,rapeseed,flower
985,n11939491,daisy,flower
986,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",flower
987,n12144580,corn,food
988,n12267677,acorn,plant
989,n12620546,"hip, rose hip, rosehip",flower
990,n12768682,"buckeye, horse chestnut, conker",plant
991,n12985857,coral fungus,coral
992,n12998815,agaric,fungus
993,n13037406,gyromitra,fungus
994,n13040303,"stinkhorn, carrion fungus",fungus
995,n13044778,earthstar,fungus
996,n13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",fungus
997,n13054560,bolete,fungus
998,n13133613,"ear, spike, capitulum",food
999,n15075141,"toilet tissue, toilet paper, bathroom tissue",other
